cbg_norm,sampling_bias,abs_sampling_bias,representation_ratio_final,abs_bias_rank_pct
360810111001,-0.0136307750162998,0.0136307750162998,0.4699306682550383,0.9830970556161396
360810111002,-0.001435483282211,0.001435483282211,0.9018027198850268,0.21810250817884405
360810112002,0.0008563580213751,0.0008563580213751,1.06048804823801,0.12958924027626317
360810112001,0.0002194424451136,0.0002194424451136,1.0184951535089275,0.031079607415485277
360810113001,-0.0013584374909034,0.0013584374909034,0.9029134707013268,0.20719738276990185
360810113003,-0.0016288534278765,0.0016288534278765,0.8514731230451791,0.24881861141403125
360810113002,-0.0111501608394216,0.0111501608394216,0.5677864124282477,0.9485641584878226
360810114001,0.0017897934680555,0.0017897934680555,1.131697065432529,0.2700836059614686
360810115001,-0.0011537126441845,0.0011537126441845,0.93840585867321,0.17484551072337332
360810116001,0.0009579647773382,0.0009579647773382,1.0847049172958194,0.14412940748818612
360810116002,0.0001939556991839,0.0001939556991839,1.0119103451540077,0.026354053071610324
360810117003,-0.0023807363205821,0.0023807363205821,0.843346050575044,0.3422391857506361
360810117002,-0.0028386907558148,0.0028386907558148,0.6736292056146003,0.40512540894220284
360810117004,-0.003814027812489,0.003814027812489,0.6397973816719028,0.5221737549981825
360810117001,-0.0048654848791966,0.0048654848791966,0.5539377757979216,0.6226826608505998
360810118001,-0.0024293953592559,0.0024293953592559,0.8689773818763232,0.35096328607778987
360810118002,-0.0030535675625526,0.0030535675625526,0.7824985721785761,0.4334787350054526
360810119002,0.0029434744782424,0.0029434744782424,1.3285958606778725,0.41693929480189024
360810119001,-0.0034415422289157,0.0034415422289157,0.6439829325068673,0.4832788077062886
360810120001,-0.0025978959465078,0.0025978959465078,0.7823436219662635,0.3736822973464195
360810394002,-0.0012866061594854,0.0012866061594854,0.8902498876620374,0.19756452199200292
360810398002,-0.0045468727941868,0.0045468727941868,0.6109660236969631,0.5945110868774991
360810400002,0.0013909269912759,0.0013909269912759,1.1978146210760456,0.21319520174482007
360810400001,-0.0008126681168281,0.0008126681168281,0.9023186660434206,0.12286441294074882
360810401003,-0.0092670293788757,0.0092670293788757,0.6705157933197429,0.8971283169756452
360810401001,-0.002831842298251,0.002831842298251,0.9179351401166078,0.4043984005816067
360810401002,-0.0016862757546578,0.0016862757546578,0.9200605060439192,0.257360959651036
